year,pick,player,team,college_or_intl,age_at_draft,height_in,weight_lbs,wingspan_in,standing_reach_in,career_games,career_minutes,career_ws,career_ws48,career_bpm,career_vorp,allstar,notes,ncaa_games,ncaa_mpg,ncaa_ppg,ncaa_rpg,ncaa_apg,ncaa_fg_pct,ncaa_3p_pct,ncaa_3pa_pg,ncaa_ft_pct,ncaa_ts_pct,ncaa_usg_pct,ncaa_ast_pct,ncaa_tov_pct,ncaa_stl_pct,ncaa_blk_pct,ncaa_obpm,ncaa_bpm,ncaa_source
2001,6,Shane Battier,MEM,Duke,22.8,80.25,229.0,82.5,105.0,977.0,30004.0,75.7,0.121,1.7,28.2,0,,39,34.9,19.9,7.3,1.8,0.471,0.419,7.6,0.796,0.624,,,8.8,,,,,sports-reference
2001,7,Eddie Griffin,NJN,Seton Hall,19.08,81.25,222.0,87.0,110.0,303.0,6729.0,10.9,0.078,-0.4,2.8,0,,30,32.6,17.8,10.8,1.6,0.429,0.32,4.3,0.734,0.501,,,11.2,,,,,sports-reference
2001,8,DeSagana Diop,CLE,,19.41,82.0,314.0,90.5,113.0,601.0,8403.0,12.8,0.073,-1.9,0.2,0,non-NCAA,,,,,,,,,,,,,,,,,,
2001,9,Rodney White,DET,UNC Charlotte,21.0,79.5,243.0,83.5,104.5,218.0,3354.0,1.8,0.026,-2.2,-0.1,0,,28,30.9,18.7,6.5,1.5,0.487,0.347,3.4,0.713,0.566,,,15.1,,,,,sports-reference
2001,10,Joe Johnson,BOS,Arkansas,19.99,78.75,226.0,81.0,105.0,1277.0,44236.0,82.9,0.09,0.4,26.5,1,,30,29.1,14.2,6.4,2.6,0.468,0.443,2.6,0.747,0.549,,,15.2,,,,,sports-reference
2001,11,Kedrick Brown,BOS,Okaloosa-Walton Community College,20.28,79.0,222.0,,,143.0,1935.0,3.0,0.074,-1.1,0.4,0,ht/wt from BBR listed (not combine barefoot),,,,,,,,,,,,,,,,,,
2001,12,Vladimir Radmanović,SEA,,20.6,82.0,227.0,,,737.0,16164.0,26.5,0.079,-0.1,7.6,0,ht/wt from BBR listed (not combine barefoot); non-NCAA,,,,,,,,,,,,,,,,,,
2001,13,Richard Jefferson,HOU,Arizona,21.02,79.25,223.0,84.0,103.0,1181.0,34293.0,83.0,0.116,0.2,19.4,0,,35,27.5,11.3,5.4,2.7,0.479,0.344,2.6,0.655,0.553,,,22.5,,,,,sports-reference
2001,14,Troy Murphy,GSW,Notre Dame,21.15,81.75,230.0,83.0,105.5,729.0,19921.0,50.3,0.121,0.1,10.6,0,,30,36.3,21.8,9.2,2.1,0.471,0.349,2.9,0.766,0.56,,,13.4,,,,,sports-reference
2001,15,Steven Hunter,ORL,DePaul,19.66,82.25,224.0,88.0,108.0,400.0,5993.0,10.6,0.085,-2.3,-0.5,0,,30,26.9,11.4,5.6,0.5,0.592,,0.0,0.536,0.587,,,13.1,,,,,sports-reference
2001,16,Kirk Haston,CHH,Indiana,22.3,80.0,242.0,84.25,106.0,27.0,134.0,-0.5,-0.197,-13.3,-0.4,0,,33,30.8,19.0,8.7,1.2,0.44,0.377,2.1,0.687,0.496,,,11.1,,,,,sports-reference
2001,17,Michael Bradley,TOR,Villanova,22.19,81.5,227.0,85.5,107.0,173.0,2016.0,2.0,0.047,-4.0,-1.0,0,,31,34.0,20.8,9.8,2.6,0.692,0.353,1.1,0.59,0.69,,,15.8,,,,,sports-reference
2001,18,Jason Collins,HOU,Stanford,22.57,82.25,251.0,88.5,110.0,735.0,14974.0,20.1,0.064,-3.7,-6.5,0,,34,26.3,14.5,7.8,1.5,0.62,0.462,0.8,0.784,0.687,,,12.9,,,,,sports-reference
2001,19,Zach Randolph,POR,Michigan State,19.95,81.0,250.0,,,1116.0,34616.0,81.1,0.112,0.2,18.8,1,ht/wt from BBR listed (not combine barefoot),33,19.8,10.8,6.7,1.0,0.587,,0.0,0.635,0.604,,,15.2,,,,,sports-reference
2001,20,Brendan Haywood,CLE,UNC,21.58,83.75,266.0,90.5,113.5,816.0,18680.0,43.8,0.113,-1.4,2.9,0,,33,27.3,12.3,7.3,1.3,0.592,,0.0,0.516,0.58,,,15.9,,,,,sports-reference
2001,21,Joseph Forte,BOS,UNC,20.26,75.5,193.0,78.5,100.5,25.0,125.0,-0.4,-0.166,-8.6,-0.2,0,,33,34.7,20.9,6.1,3.5,0.45,0.377,4.4,0.853,0.546,,,11.7,,,,,sports-reference
2001,22,Jeryl Sasser,ORL,SMU,22.37,77.5,194.0,82.5,103.5,82.0,1061.0,0.7,0.032,-2.5,-0.1,0,,29,34.9,17.0,8.3,4.2,0.394,0.287,4.2,0.718,0.484,,,10.9,,,,,sports-reference
2001,23,Brandon Armstrong,HOU,Pepperdine,21.03,75.5,188.0,81.5,99.5,108.0,699.0,-0.6,-0.039,-8.0,-1.0,0,,31,33.1,22.1,3.3,1.5,0.447,0.384,6.4,0.826,0.56,,,9.6,,,,,sports-reference
