year,pick,team,player,slug,college,yrs,career_games,career_minutes,career_ws,career_ws48,career_bpm,career_vorp
2013,9,MIN,Trey Burke,burketr01,Michigan,9,498,10401,12.9,.060,-1.3,1.7
2013,10,POR,CJ McCollum,mccolcj01,Lehigh,13,863,27528,54.9,.096,1.1,21.5
2013,11,PHI,Michael Carter-Williams,cartemi01,Syracuse,9,395,9942,6.6,.032,-1.2,1.8
2013,12,OKC,Steven Adams,adamsst01,Pitt,12,796,20468,63.7,.149,0.5,12.9
2013,13,DAL,Kelly Olynyk,olynyke01,Gonzaga,13,842,18360,47.1,.123,0.8,13.1
2013,14,UTA,Shabazz Muhammad,muhamsh01,UCLA,5,278,4772,8.5,.085,-2.0,0.0
2013,15,MIL,Giannis Antetokounmpo,antetgi01,,13,895,29273,125.8,.206,6.8,65.5
2013,16,BOS,Lucas Nogueira,noguelu01,,4,141,1754,6.0,.165,2.3,1.9
2013,17,ATL,Dennis Schröder,schrode01,,13,912,24721,34.2,.066,-1.5,2.9
2013,18,ATL,Shane Larkin,larkish01,Miami (FL),4,256,4880,4.4,.044,-2.4,-0.6
2013,19,CLE,Sergey Karasev,karasse01,,3,95,1110,0.8,.036,-3.4,-0.4
2013,20,CHI,Tony Snell,snellto01,New Mexico,9,601,13092,18.5,.068,-2.0,-0.1
2013,21,UTA,Gorgui Dieng,dienggo01,Louisville,10,628,12625,30.7,.117,0.2,7.1
2013,22,BRK,Mason Plumlee,plumlma01,Duke,13,880,18969,58.4,.148,1.2,15.2
2013,23,IND,Solomon Hill,hillso01,Arizona,9,448,9652,11.9,.059,-2.1,-0.3
2013,24,NYK,Tim Hardaway Jr.,hardati02,Michigan,13,893,24389,38.2,.075,-1.2,5.2
2013,25,LAC,Reggie Bullock,bullore01,UNC,11,556,12556,21.4,.082,-1.2,2.6
2013,26,MIN,Andre Roberson,roberan03,Colorado,7,307,6801,12.6,.089,-0.6,2.3
2013,27,DEN,Rudy Gobert,goberru01,,13,905,27811,124.9,.216,3.1,35.8
2013,28,SAS,Livio Jean-Charles,jeancli01,,,,,,,,
2013,29,OKC,Archie Goodwin,goodwar01,Kentucky,4,165,2396,1.1,.022,-3.0,-0.6
2013,30,PHO,Nemanja Nedović,nedovne01,,1,24,142,-0.4,-.132,-10.0,-0.3
2013,31,CLE,Allen Crabbe,crabbal01,California,7,381,9125,13.7,.072,-1.6,0.9
2013,32,OKC,Álex Abrines,abrinal01,,3,174,2777,5.0,.086,-1.9,0.1
2013,33,CLE,Carrick Felix,felixca01,Arizona State,1,7,38,0.0,.057,-3.4,0.0
2013,34,HOU,Isaiah Canaan,canaais01,Murray State,6,235,4799,4.3,.043,-2.4,-0.5
2013,35,PHI,Glen Rice Jr.,ricegl02,Georgia Tech,2,16,152,-0.2,-.065,-6.6,-0.2
2013,36,SAC,Ray McCallum,mccalra01,Detroit Mercy,3,154,2808,2.1,.035,-2.6,-0.4
2013,37,DET,Tony Mitchell,mitchto02,University of North Texas,1,21,79,0.2,.151,0.4,0.0
2013,38,WAS,Nate Wolters,woltena01,South Dakota State,3,84,1575,0.9,.028,-2.6,-0.2
2013,39,POR,Jeff Withey,witheje01,Kansas,5,207,2072,6.8,.157,0.5,1.3
2013,40,POR,Grant Jerrett,jerregr01,Arizona,1,8,51,-0.1,-.128,-10.8,-0.1
2013,41,MEM,Jamaal Franklin,frankja01,San Diego State,2,24,174,0.0,-.006,-5.9,-0.2
2013,42,PHI,Pierre Jackson,jackspi01,Baylor,1,8,84,0.0,.021,-4.4,-0.1
2013,43,MIL,Ricky Ledo,ledori01,Providence,2,28,277,-0.6,-.096,-7.6,-0.4
2013,44,DAL,Mike Muscala,muscami01,Bucknell,11,548,8239,19.2,.112,-0.2,3.7
2013,45,POR,Marko Todorović,todorma01,,,,,,,,
2013,46,UTA,Erick Green,greener01,Virginia Tech,2,52,452,0.1,.011,-4.0,-0.2
2013,47,ATL,Raul Neto,netora01,,8,435,6765,11.6,.082,-1.5,0.8
2013,48,LAL,Ryan Kelly,kellyry01,Duke,4,163,3125,3.0,.046,-2.6,-0.5
2013,49,CHI,Erik Murphy,murpher01,Florida,1,24,62,-0.1,-.055,-8.6,-0.1
2013,50,ATL,James Ennis III,ennisja01,Cal State Long Beach,8,395,8022,16.2,.097,-1.5,0.9
2013,51,ORL,Romero Osby,osbyro01,Oklahoma,,,,,,,
2013,52,MIN,Lorenzo Brown,brownlo01,NC State,5,103,1185,-0.2,-.007,-3.5,-0.5
2013,53,IND,Colton Iverson,iversco01,Colorado State,,,,,,,
2013,54,WAS,Arsalan Kazemi,kazemar01,Oregon,,,,,,,
2013,55,MEM,Joffrey Lauvergne,lauvejo01,,4,208,2823,5.2,.089,-2.1,-0.1
2013,56,DET,Peyton Siva,sivape01,Louisville,1,24,224,-0.2,-.032,-6.4,-0.2
2013,57,PHO,Alex Oriakhi,oriakal01,Missouri,,,,,,,
2013,58,SAS,Deshaun Thomas,thomade01,Ohio State,,,,,,,
2013,59,MIN,Bojan Dubljević,dubljbo01,,,,,,,,
2013,60,MEM,Jānis Timma,timmaja01,,,,,,,,
2014,1,CLE,Andrew Wiggins,wiggian01,Kansas,12,834,27951,37.6,.065,-1.2,5.8
2014,2,MIL,Jabari Parker,parkeja01,Duke,8,310,8535,13.8,.078,-0.8,2.5
2014,3,PHI,Joel Embiid,embiijo01,Kansas,10,490,15608,69.0,.212,6.7,34.3
2014,4,ORL,Aaron Gordon,gordoaa01,Arizona,12,756,22081,50.1,.109,0.4,13.4
2014,5,UTA,Danté Exum,exumda01,,8,320,6005,6.6,.053,-2.8,-1.2
2014,6,BOS,Marcus Smart,smartma01,Oklahoma State,12,697,20495,36.2,.085,-0.5,7.6
2014,7,LAL,Julius Randle,randlju01,Kentucky,12,789,25348,56.9,.108,1.0,19.4
2014,8,SAC,Nik Stauskas,stausni01,Michigan,6,343,6701,3.9,.028,-3.0,-1.7
2014,9,CHO,Noah Vonleh,vonleno01,Indiana,8,362,5854,9.4,.077,-2.5,-0.7
2014,10,PHI,Elfrid Payton,paytoel01,Louisiana,9,524,13894,15.1,.052,-1.1,3.1
2014,11,DEN,Doug McDermott,mcderdo01,Creighton,12,726,14011,21.7,.074,-2.2,-0.7
2014,12,ORL,Dario Šarić,saricda01,,9,498,11120,20.8,.090,-0.8,3.4
2014,13,MIN,Zach LaVine,lavinza01,UCLA,12,693,22685,38.6,.082,0.6,14.6
2014,14,PHO,T.J. Warren,warretj01,NC State,9,385,10365,20.9,.097,-0.4,4.1
2014,15,ATL,Adreian Payne,paynead01,Michigan State,4,107,1403,-0.6,-.019,-5.9,-1.4
2014,16,CHI,Jusuf Nurkić,nurkiju01,,12,631,15430,34.7,.108,0.4,9.5
2014,17,BOS,James Young,youngja01,Kentucky,4,95,812,0.8,.046,-3.4,-0.3
2014,18,PHO,Tyler Ennis,ennisty01,Syracuse,4,186,2336,1.3,.026,-3.4,-0.8
2014,19,CHI,Gary Harris,harriga01,Michigan State,12,666,17326,27.5,.076,-1.4,2.6
2014,20,TOR,Bruno Caboclo,cabocbr01,,7,105,1293,1.5,.054,-2.7,-0.2
2014,21,OKC,Mitch McGary,mcgarmi01,Michigan,2,52,557,1.3,.108,-2.6,-0.1
2014,22,MEM,Jordan Adams,adamsjo01,UCLA,2,32,263,0.4,.070,1.7,0.2
2014,23,UTA,Rodney Hood,hoodro01,Duke,8,448,10977,17.4,.076,-1.2,2.2
2014,24,CHO,Shabazz Napier,napiesh01,UConn,6,345,5986,8.1,.065,-0.7,2.0
2014,25,HOU,Clint Capela,capelca01,,12,739,18329,72.6,.190,1.6,16.5
2014,26,MIA,P.J. Hairston,hairspj02,UNC,2,111,2000,0.9,.021,-3.9,-1.0
2014,27,PHO,Bogdan Bogdanović,bogdabo01,,9,526,14750,25.0,.081,0.1,7.7
2014,28,LAC,C.J. Wilcox,wilcocj01,Washington,3,66,376,0.1,.007,-4.3,-0.2
2014,29,OKC,Josh Huestis,huestjo01,Stanford,3,76,1068,0.7,.030,-3.5,-0.4
2014,30,SAS,Kyle Anderson,anderky01,UCLA,12,757,16177,41.3,.122,1.7,15.1
2014,31,MIL,Damien Inglis,inglida01,,1,20,156,-0.1,-.024,-5.6,-0.1
2014,32,PHI,K.J. McDaniels,mcdankj01,Clemson,3,148,2092,1.3,.030,-2.8,-0.4
2014,33,CLE,Joe Harris,harrijo01,Virginia,10,504,12298,23.1,.090,-0.7,4.1
2014,34,NYK,Cleanthony Early,earlycl01,Wichita State,2,56,801,-0.6,-.039,-5.9,-0.8
2014,35,UTA,Jarnell Stokes,stokeja01,Tennessee,3,28,151,0.6,.202,0.1,0.1
2014,36,MIL,Johnny O'Bryant,obryajo01,LSU,4,147,1684,0.2,.006,-6.2,-1.8
2014,37,TOR,DeAndre Daniels,daniede01,UConn,,,,,,,
2014,38,DET,Spencer Dinwiddie,dinwisp01,Colorado,11,621,17219,36.0,.100,-0.1,8.1
2014,39,PHI,Jerami Grant,grantje01,Syracuse,12,776,21749,40.7,.090,-0.4,8.7
2014,40,MIN,Glenn Robinson III,robingl02,Michigan,7,304,5299,7.9,.071,-1.7,0.4
2014,41,DEN,Nikola Jokić,jokicni01,,11,810,25914,142.9,.265,10.6,82.5
2014,42,HOU,Nick Johnson,johnsni01,Arizona,1,28,262,-0.1,-.020,-6.5,-0.3
2014,43,ATL,Edy Tavares,tavarwa01,,2,13,101,0.2,.118,-0.4,0.0
2014,44,MIN,Markel Brown,brownma02,Oklahoma State,3,113,1794,1.1,.029,-2.9,-0.4
2014,45,CHO,Dwight Powell,poweldw01,Stanford,12,768,13469,50.5,.180,0.7,9.1
2014,46,WAS,Jordan Clarkson,clarkjo01,Missouri,12,825,22102,25.9,.056,-1.1,5.1
2014,47,PHI,Russ Smith,smithru01,Louisville,2,27,131,-0.2,-.068,-5.1,-0.1
2014,48,MIL,Lamar Patterson,pattela01,Pitt,2,40,435,0.1,.006,-5.7,-0.4
2014,49,CHI,Cameron Bairstow,bairsca01,New Mexico,2,36,167,-0.1,-.021,-8.1,-0.3
2014,50,PHO,Alec Brown,brownal01,Green Bay,,,,,,,
2014,51,NYK,Thanasis Antetokounmpo,antetth01,,7,232,1668,2.1,.061,-4.1,-0.9
2014,52,PHI,Vasilije Micić,micicva01,,2,101,1961,-0.6,-.015,-5.6,-1.8
2014,53,MIN,Alessandro Gentile,gential01,,,,,,,,
2014,54,PHI,Nemanja Dangubić,dangune01,,,,,,,,
2014,55,MIA,Semaj Christon,chrisse01,Xavier,1,64,973,0.1,.006,-5.1,-0.8
2014,56,DEN,Devyn Marble,marblde01,Iowa,2,44,457,-0.3,-.028,-5.5,-0.4
2014,57,IND,Louis Labeyrie,labeylo01,,,,,,,,
2014,58,SAS,Jordan McRae,mcraejo01,Tennessee,4,123,1696,1.7,.048,-2.1,0.0
2014,59,TOR,Xavier Thames,thamexa01,San Diego State,,,,,,,
2014,60,SAS,Cory Jefferson,jeffeco01,Baylor,2,58,581,0.9,.071,-3.3,-0.2
2015,1,MIN,Karl-Anthony Towns,townska01,Kentucky,11,720,24294,94.6,.187,4.3,38.5
2015,2,LAL,D'Angelo Russell,russeda01,Ohio State,11,655,19240,26.5,.066,0.6,12.4
2015,3,PHI,Jahlil Okafor,okafoja01,Duke,7,248,4830,7.2,.071,-2.0,0.0
2015,4,NYK,Kristaps Porziņģis,porzikr01,,10,533,16175,50.4,.150,2.6,18.9
2015,5,ORL,Mario Hezonja,hezonma01,,5,330,6107,3.2,.025,-2.8,-1.2
