norm_name,prospect,comp_rank,distance,comp_player,comp_draft_year,comp_pick,comp_outcome_mpg,comp_outcome_tier
zuby ejiofor,Zuby Ejiofor,2,2.871464218061654,Draymond Green,2012,35.0,28.7,starter
zuby ejiofor,Zuby Ejiofor,3,2.888174704605065,Frank Kaminsky,2015,9.0,19.8,rotation
zuby ejiofor,Zuby Ejiofor,4,2.8998991688250766,Xavier Tillman,2020,35.0,17.6,rotation
zuby ejiofor,Zuby Ejiofor,5,2.9494555687661492,Neemias Queta,2021,39.0,9.7,bench
luigi suigo,Luigi Suigo,1,2.7333016395414536,Tiny Gallon,2010,47.0,0.0,bust
luigi suigo,Luigi Suigo,2,2.847002622448565,Dakari Johnson,2015,48.0,5.2,bust
luigi suigo,Luigi Suigo,3,2.909343715980701,Tony Bradley,2017,28.0,11.1,bench
luigi suigo,Luigi Suigo,4,2.9400514428531355,Meyers Leonard,2012,11.0,15.9,rotation
luigi suigo,Luigi Suigo,5,3.1050014693627146,Thomas Bryant,2017,42.0,18.8,rotation
richie saunders,Richie Saunders,1,1.8371155754514665,Chris Duarte,2021,13.0,21.3,rotation
richie saunders,Richie Saunders,2,2.5005894892271234,Cameron Johnson,2019,11.0,25.4,starter
richie saunders,Richie Saunders,3,2.520473940481303,Sam Merrill,2020,60.0,11.7,bench
richie saunders,Richie Saunders,4,2.5349589358492457,Michael Gbinije,2016,49.0,3.5,bust
richie saunders,Richie Saunders,5,2.558734080031078,Quinndary Weatherspoon,2019,49.0,6.5,bust
ryan conwell,Ryan Conwell,1,1.165405881635707,Jordan Crawford,2010,27.0,24.4,starter
ryan conwell,Ryan Conwell,2,1.3695751062103059,Darius Johnson-Odom,2012,55.0,3.0,bust
ryan conwell,Ryan Conwell,3,1.4397960821054805,Dominique Jones,2010,25.0,9.3,bench
ryan conwell,Ryan Conwell,4,1.727222522617343,Shelvin Mack,2011,34.0,18.4,rotation
