source_dataset,draft_year,pick,player,norm_name,position,school,conference,age_at_draft,height_in,weight_lbs,games,mp,ts_pct,efg_pct,three_par,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,obpm,dbpm,bpm,ast_to_tov,pts_per40,reb_per40,ast_per40,stl_per40,blk_per40,tov_per40,ft_pct,three_pct,three_pa_per40,draft_score,nba_mpg,career_games,career_minutes,career_ws,career_ws48,career_bpm,career_vorp,combine_height_no_shoes_in,combine_height_with_shoes_in,wingspan_in,standing_reach_in,max_vert_in,standing_vert_in,combine_weight_lbs,lane_agility_s,sprint_s,fte_projected_spm,fte_superstar_prob,fte_starter_prob,fte_role_player_prob,fte_bust_prob,outcome_mpg,outcome_tier,outcome_value
woodfin8/Draft_Machine combined_data.csv,2000,41.0,Chris Carrawell,chris carrawell,,duke,,,78.0,,136.0,2494.900237529692,0.545,0.514,,0.415,,,,,,,15.219621749408972,,,,,,23.327586059162964,9.747884758743012,4.954105905348011,1.6834340455066057,1.8277283922643148,2.840233522842739,0.667,0.36,0.9940277221086624,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,bust,0.0
woodfin8/Draft_Machine combined_data.csv,2000,43.0,Michael Redd,michael redd,,ohio state,,,78.0,,96.0,2187.0,0.516,0.488,,0.35,,,,,,,11.4,,,,,,34.36671239140375,10.845907636031091,4.352994970278921,2.7251943301326014,0.2011888431641518,2.761774119798811,0.649,0.319,2.3045267489711936,,32.0,629.0,20104.0,55.9,0.134,0.9,14.9,,,,,,,,,,,,,,,32.0,star,32.0
woodfin8/Draft_Machine combined_data.csv,2000,44.0,Brian Cardinal,brian cardinal,,purdue,,,80.0,,132.0,3693.0,0.581,0.521,,0.568,,,,,,,15.6,,,,,,17.156783103168156,8.112645545626862,3.000270782561603,2.8053073382074194,0.4765773084213376,2.740319523422692,0.761,0.365,1.40806932033577,,14.2,456.0,6477.0,15.4,0.114,0.7,4.5,,,,,,,,,,,,,,,14.2,bench,14.2
woodfin8/Draft_Machine combined_data.csv,2000,45.0,Jabari Smith,jabari smith,,lsu,,,83.0,,61.0,1777.0,0.583,0.557,,0.615,,,,,,,21.8,,,,,,17.26505346088914,11.277433877321329,2.836240855374226,1.2605514912774338,1.4631401238041644,4.119302194710185,0.639,0.298,0.5627462014631401,,9.8,108.0,1063.0,1.3,0.0579999999999999,-4.0,-0.5,,,,,,,,,,,,,,,9.8,bench,9.8
woodfin8/Draft_Machine combined_data.csv,2000,48.0,Mark Karcher,mark karcher,,temple,,,77.0,,67.0,2494.900237529692,0.476,0.455,,0.265,,,,,,,15.219621749408972,,,,,,15.58378944983258,5.595414113160052,2.372840368904549,1.763597571483111,0.144294346757709,2.840233522842739,0.613,0.322,2.38887307409985,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,bust,0.0
woodfin8/Draft_Machine combined_data.csv,2000,49.0,Jason Hart,jason hart,,syracuse,,,75.0,,132.0,3293.0,0.486,0.445,,0.33,,,,,,,21.3,,,,,,18.256908593987248,5.259641664136047,8.612207713331308,3.9963559064682657,0.1700576981475858,3.8020042514424537,0.712,0.326,1.6884300030367447,,15.5,341.0,5289.0,8.6,0.078,-1.7,0.3,,,,,,,,,,,,,,,15.5,rotation,15.5
woodfin8/Draft_Machine combined_data.csv,2000,50.0,Kaniel Dickens,kaniel dickens,,idaho,,,80.0,,55.0,1223.0,0.534,0.5,,0.554,,,,,,,18.9,,,,,,16.811120196238758,10.335241210139005,1.1120196238757154,1.5372035977105478,1.2755519215044973,3.6631234668847097,0.63,0.351,0.4251839738348323,,4.5,19.0,85.0,0.1,0.055,-5.0,-0.1,,,,,,,,,,,,,,,4.5,bust,4.5
woodfin8/Draft_Machine combined_data.csv,2000,53.0,Dan McClintock,dan mcclintock,,northern arizona university,,,84.0,,115.0,1716.0,0.642,0.632,,0.499,,,,,,,15.6,,,,,,31.77156177156177,11.32867132867133,1.8414918414918413,0.9324009324009324,4.568764568764569,3.613053613053613,0.652,0.0,0.0,,9.7,6.0,58.0,0.0,0.0069999999999999,-6.6,-0.1,,,,,,,,,,,,,,,9.7,bench,9.7
woodfin8/Draft_Machine combined_data.csv,2000,55.0,Chris Porter,chris porter,,auburn,,,79.0,,56.0,1617.0,0.514,0.476,,0.464,,,,,,,13.0,,,,,,21.24922696351268,11.131725417439704,1.583178726035869,2.8695114409400126,0.5442176870748299,3.0921459492888066,0.651,0.308,0.2968460111317254,,22.5,51.0,1147.0,0.2,0.008,-4.6,-0.8,,,,,,,,,,,,,,,22.5,rotation,22.5
woodfin8/Draft_Machine combined_data.csv,2000,56.0,Jaquay Walls,jaquay walls,,colorado,,,75.0,,65.0,2494.900237529692,0.547,0.483,,0.564,,,,,,,15.219621749408972,,,,,,14.894383126434636,3.2867045650367066,4.376928518317175,1.5231069935535957,0.224457872734214,2.840233522842739,0.746,0.356,1.3627799416005857,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,bust,0.0
woodfin8/Draft_Machine combined_data.csv,2000,57.0,Scoonie Penn,scoonie penn,,ohio state,,,70.0,,122.0,2494.900237529692,0.552,0.512,,0.35,,,,,,,15.219621749408972,,,,,,29.067294519080725,7.310913569057259,7.5514041469867745,3.5913259637474253,0.1763597571483111,2.840233522842739,0.755,0.338,4.120405235192359,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,bust,0.0
woodfin8/Draft_Machine combined_data.csv,2000,58.0,Pete Mickeal,pete mickeal,,cincinnati,,,78.0,,65.0,2494.900237529692,0.607,0.568,,0.587,,,,,,,15.219621749408972,,,,,,14.830252305653431,7.038357580737142,1.843761097459616,1.555172403944198,0.4008176298825252,2.840233522842739,0.711,0.355,0.4328830402731272,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,bust,0.0
woodfin8/Draft_Machine combined_data.csv,2001,5.0,Jason Richardson,jason richardson,,michigan state,,,78.0,,70.0,1522.0,0.573,0.558,,0.285,,,,,,,12.0,,,,,,17.73981603153745,9.14586070959264,2.522996057818659,1.5243101182654404,0.8935611038107754,2.102496714848883,0.649,0.383,1.4980289093298291,,34.1,857.0,29241.0,59.1,0.0969999999999999,1.3,24.4,,,,,,,,,,0.575466015,0.052757884,0.464243118,0.215354424,0.267644574,34.1,star,34.1
woodfin8/Draft_Machine combined_data.csv,2001,6.0,Shane Battier,shane battier,,duke,,,80.0,,146.0,3450.0,0.632,0.594,,0.431,,,,,,,9.2,,,,,,23.00289855072464,10.284057971014493,2.7710144927536238,3.084057971014493,2.944927536231884,1.5768115942028984,0.777,0.416,2.8521739130434782,,30.7,977.0,30004.0,75.7,0.121,2.9,37.0,,,,,,,,,,1.776771289,0.06667887,0.655715297,0.116222118,0.161383714,30.7,star,30.7
woodfin8/Draft_Machine combined_data.csv,2001,7.0,Eddie Griffin,eddie griffin,,seton hall,,,82.0,,30.0,979.0,0.501,0.472,,0.227,,,,,,,11.2,,,,,,21.77732379979571,13.197139938712972,2.0020429009193057,1.062308478038815,5.434116445352401,2.7374872318692542,0.734,0.32,1.6751787538304392,,22.2,303.0,6729.0,10.9,0.078,-1.0,1.7,,,,,,,,,,0.399028,0.085375119,0.36825736,0.201519468,0.344848053,22.2,rotation,22.2
