rank,name,position,team_school,height_listed,height_in,weight_lbs,class,age,pts_pg,reb_pg,ast_pg,blk_pg,stl_pg,pts_per36,reb_per36,ast_per36,blk_per36,stl_per36,ts_pct,usg,obpm,dbpm,bpm,source,norm_name
49,Tyler Nickel,SG,Vanderbilt,"6'7.25""",79.25,217.0,Senior,22.8,13.5,3.3,1.2,0.5,0.8,15.9,3.8,1.4,0.6,0.9,0.617,18.9,6.0,1.4,7.5,Tankathon,tyler nickel
50,Braden Smith,PG,Purdue,"5'11.5""",71.5,167.0,Senior,22.9,14.3,3.5,8.8,0.2,1.7,14.9,3.7,9.2,0.2,1.8,0.551,24.0,6.8,3.0,9.8,Tankathon,braden smith
51,Maliq Brown,PF,Duke,"6'9.25""",81.25,217.0,Senior,22.6,4.9,5.2,1.6,0.6,1.8,8.8,9.2,2.9,1.1,3.2,0.634,12.7,2.6,8.9,11.6,Tankathon,maliq brown
52,Tyler Bilodeau,PF,UCLA,"6'8.5""",80.5,228.0,Senior,22.2,17.6,5.6,1.1,0.4,0.5,21.1,6.7,1.3,0.4,0.6,0.656,25.8,7.5,1.4,8.9,Tankathon,tyler bilodeau
53,Felix Okpara,C,Tennessee,"6'11.25""",83.25,237.0,Senior,22.2,8.0,6.3,0.5,1.5,0.4,10.7,8.5,0.7,2.0,0.6,0.617,13.4,1.8,3.6,5.5,Tankathon,felix okpara
54,Tamin Lipsey,PG,Iowa State,"6'1""",73.0,200.0,Senior,22.9,13.5,3.9,5.1,0.0,2.3,15.4,4.5,5.8,0.0,2.6,0.54,22.1,5.5,5.8,11.3,Tankathon,tamin lipsey
55,Pavle Backo,C,KK Mega Basket,"6'11""",83.0,262.0,International,18.9,12.7,4.7,1.2,1.3,0.3,23.8,8.8,2.2,2.3,0.6,0.603,26.5,,,,Tankathon,pavle backo
56,Kylan Boswell,PG,Illinois,"6'2.5""",74.5,226.0,Senior,21.2,12.3,4.0,3.0,0.0,0.7,14.7,4.8,3.6,0.0,0.9,0.559,20.4,3.9,3.1,7.0,Tankathon,kylan boswell
57,Tobi Lawal,PF,Virginia Tech,"6'8.5""",80.5,214.0,Senior,23.1,12.3,8.5,0.6,1.1,0.3,15.2,10.5,0.8,1.4,0.4,0.635,20.0,2.3,1.6,3.9,Tankathon,tobi lawal
58,Rafael Castro,C,George Washington,"6'10.25""",82.25,224.0,Senior,23.2,15.3,9.1,1.7,1.7,1.8,20.1,12.0,2.2,2.3,2.3,0.645,24.2,6.1,3.4,9.5,Tankathon,rafael castro
